warning_value,average_value,province_name,station_id
5.044772056825813,3.159979020979021,West-Vlaanderen,4896
6.533873241554002,5.011636363636364,Limburg,4933
2.310655884105279,1.0222642857142856,Oost-Vlaanderen,4946
39.39110693293209,38.16859712230216,Limburg,4951
19.026694572906187,17.59129861111111,Vlaams-Brabant,64
113.76091033392785,113.21680952380952,Limburg,78
2.8393134536710303,1.407095238095238,Antwerpen,83
11.271484160180817,9.765344370860927,Vlaams-Brabant,87
41.016603077790094,39.781801324503306,Vlaams-Brabant,16
19.711056589324954,18.281903448275862,Vlaams-Brabant,38
29.41538188441177,28.101872483221477,Limburg,27
23.445289201069414,22.07732,Limburg,61
22.242864624142126,20.836806896551725,Vlaams-Brabant,85
12.958778734640841,11.146178082191781,West-Vlaanderen,37
89.11690595434615,88.348,Limburg,97
